part_family,component_name_대표,part_numbers,campaigns,models,campaign_count,model_count,supplier_names
940C3,UNIT ASSY-CLUSTER,940C3-BE190; 940C3-BE290; 940C3-CW000; 940C3-CW070; 940C3-DO010; 940C3-DW300; 940C3-GG000; 940C3-HD000; 940C3-HD070; 940C3-K5000; 940C3-L1020; 940C3-L1100; 940C3-L2110; 940C3-N9000; 940C3-N9300; 940C3-N9700; 940C3-P0770; 940C3-P1360; 940C3-P4220; 940C3-P9060; 940C3-PI000; 940C3-PI010; 940C3-PI020; 940C3-R0440; 940C3-R5010; 940C3-R6000; 940C3-XA200,24V757000; 26V046000; 26V047000; 26V400000,CARNIVAL; EV9; IONIQ 5; K5; KONA; PALISADE; SANTA CRUZ; SANTA FE; SONATA; SORENTO; SPORTAGE; TUCSON,4,12,HYUNDAI MOBIS; Hyundai Mobis; MOBIS
46110,PUMP ASSY-ELECTRIC OIL,46110-2F630; 46110-4G500; 46110-4G530,23V526000; 23V531000; 25V291000,ELANTRA; KONA; PALISADE; SELTOS; SONATA; SOUL; SPORTAGE; TUCSON,3,8,MNEX; Myunghwa
48110,PUMP ASSY-ELECTRIC OIL,48110-2H100,23V526000; 23V531000,ELANTRA; KONA; PALISADE; SELTOS; SONATA; SOUL; SPORTAGE; TUCSON,2,8,Myunghwa
94001,Cluster Assy-Instrument,94001-AT000; 94001-AT100; 94001-J5370; 94001-J5371; 94001-J5380; 94001-J5381; 94001-S9500; 94001-S9510,21V577000; 21V862000; 22V344000; 23V298000,NIRO; SOUL; SPORTAGE; STINGER; TELLURIDE,4,5,"Continental Automotive Electronics, LLC; Hyundai Mobis Company (Jincheon Plant); TYW"
94003,CLUSTER ASSY-INSTRUMENT,94003-AT000; 94003-CH000; 94003-DW000; 94003-P1000,23V298000,NIRO; SOUL; SPORTAGE; TELLURIDE,1,4,TYW
94023,CLUSTER ASSY-INSTRUMENT,94023-K0000,23V298000,NIRO; SOUL; SPORTAGE; TELLURIDE,1,4,TYW
94051,CLUSTER ASSY-INSTRUMENT,94051-S9000,23V298000,NIRO; SOUL; SPORTAGE; TELLURIDE,1,4,TYW
36400,ICCU ASSEMBLY,36400-1XAA0; 36400-1XBA0; 36400-1XCA0; 36400-1XDA0; 36400-1XEA0; 36400-1XFA0; 36400-1XFA0QQK,24V200000; 24V204000; 24V867000; 24V868000,EV6; IONIQ 5; IONIQ 6,4,3,Hyundai Mobis; MOBIS Corporation
58920,ABS Assembly,58920-D3530; 58920-D9100; 58920-F6210; 58920-J5070; 58920-J5170,20V518000; 20V543000; 21V137000,SPORTAGE; STINGER; TUCSON,3,3,Mando America Corp; Mando Pyeongtaek Plant; TBD
94011,Cluster Assy-Instrument,94011-J5520; 94011-J5521; 94011-S8640; 94011-S8650; 94011-S9500,21V862000; 22V344000; 22V353000,PALISADE; STINGER; TELLURIDE,3,3,"Continental Automotive Electronics, LLC; Hyundai Mobis; Hyundai Mobis Company (Jincheon Plant)"
99240,UNIT ASSY-REAR VIEW CAMERA,99240-AA200; 99240-P2000; 99240-P2100; 99240-P6000; 99240-S1500,23V610000; 24V879000; 25V808000,ELANTRA; SANTA FE; SORENTO,3,3,Hyundai Mobis; Seoyon E-Hwa Alabama
56415,BOLT ASSY,56415-L1000,22V304000; 22V311000,ACCENT; FORTE; RIO,2,3,Kia Mexico; Kia Motor Mexico
28400,VALVE ASSY-EGR,28400-2J310,24V308000,ELANTRA; KONA; VENUE,1,3,Borgwarner
28410,VALVE ASSY-EGR,28410-2M330,24V308000,ELANTRA; KONA; VENUE,1,3,Borgwarner
80702,Forte: OCS Unit,80702-L2000; 80702-M6000; 80702-S9000,21V164000,FORTE; K5; TELLURIDE,1,3,"IEE, S.A."
37501,Battery System Assembly,37501-K4000; 37501-PI020; 37501-PI050; 37501-PI070; 37501-PI700; 37501-PI720; 37501-PI900; 37501-PI920; 37501-TD820; 37501-TD840,20V630000; 25V482000; 26V068000,IONIQ 5; KONA ELECTRIC,3,2,"MOBIS; Mobis North America Electrified (""MNAe""); Mobis North America Electrified Powertra"
58520,Integrated Electrical Booster,58520-NI000; 58520-XA000,24V693000; 25V065000; 25V235000,EV9; IONIQ 5,3,2,HL Mando; Hyundai MOBIS
28240,"PIPE & HOSE ASSY â T/C OIL FEED, LH",28240-2S304; 28240-3L100,22V202000; 24V169000,SORENTO; STINGER,2,2,"Korea Flange Co., Ltd; SAMBO MOTORS"
36601,EPCU ASSY,36601-0E170; 36601-0E190,22V899000; 22V941000,KONA ELECTRIC; NIRO EV,2,2,Hyundai Mobis
42951,SBW CONTROL UNIT,42951-18110; 42951-18150,22V322000; 22V324000,EV6; IONIQ 5,2,2,Hyundai KEFICO Corp; Hyundai KEFICO Corp.
84650,Cover assy - Console Upr,84650-CW000,24V877000,SANTA CRUZ; TUCSON,1,2,SEOYON E-HWA AUBURN
99211,UNIT-FR VIEW CAMERA,99211-CW500; 99211-N7000; 99211-N7020; 99211-N7030; 99211-N7050,26V316000,SANTA CRUZ; TUCSON,1,2,MOBIS
C6061,TOW HITCH HARNESS,C6061-ADUS0; C6061-ADUS1; C6061-ADUS8; C6061-ADUS9; C6061-ADUSA; C6061-ADUSAQQK; C6061-ADUSB; C6061-ADUSBQQK; C6061-ADUSC; C6061-ADUSD; C6061-ADUSF; C6061-ADUSG; C6061-ADUSH; C6061-ADUSNQQK; C6061-ADUSPQQK,22V703000,SORENTO; SPORTAGE,1,2,Mobis Parts America
D9061,TOW HITCH HARNESS,D9061-ADU00; D9061-ADU01; D9061-ADU02; D9061-ADU03; D9061-ADU04; D9061-ADU05; D9061-ADUP0; D9061-ADUP1; D9061-ADUP2; D9061-ADUP3; D9061-ADUP4; D9061-ADUP5; D9061-ADUS5; D9061-ADUS6; D9061-ADUS6QQK; D9061-ADUS7; D9061-ADUS9; D9061-ADUSA,22V703000,SORENTO; SPORTAGE,1,2,Mobis Parts America
R5F61,TOW HITCH HARNESS,R5F61-AU100; R5F61-AU200,22V703000,SORENTO; SPORTAGE,1,2,Mobis Parts America
S2F67,Tow Hitch Harness,S2F67-AC000; S2F67-AC100; S2F67-AC101; S2F67-AC400,23V181000,SANTA CRUZ; SANTA FE,1,2,SEGI Korea
